"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008203","cholesterol metabolic process","19/338","81/8747",0.234567901234568,6.07031192928629,9.19091512928621,1.46919037227645e-10,5.14510468371214e-07,4.47561782880849e-07,"HMGCR/HMGCS1/INSIG1/DHCR24/IDI1/MSMO1/ACLY/LSS/FDPS/LIMA1/MVD/CYP51A1/FGF1/LDLR/ABCA1/STARD4/TM7SF2/NPC1/PCSK9",19
"GO:0016125","sterol metabolic process","19/338","85/8747",0.223529411764706,5.78465019143752,8.88671956099097,3.58318562210633e-10,5.72624252867534e-07,4.98113735849783e-07,"HMGCR/HMGCS1/INSIG1/DHCR24/IDI1/MSMO1/ACLY/LSS/FDPS/LIMA1/MVD/CYP51A1/FGF1/LDLR/ABCA1/STARD4/TM7SF2/NPC1/PCSK9",19
"GO:0098609","cell-cell adhesion","42/338","380/8747",0.110526315789474,2.86027717222049,7.43319422851289,4.90540479326842e-10,5.72624252867534e-07,4.98113735849783e-07,"VCL/ACTG1/TGFB2/SERPINE2/ACTB/CTNND1/PLAUR/TRO/THY1/LPP/CD44/SLC7A11/CAV1/MYH9/FLOT1/FLNA/NT5E/PRNP/MYL9/L1CAM/TENM2/KIT/EGFR/ZFP36L1/PALLD/SERPINB8/MYO10/CLDN1/ASS1/TMOD3/CADM1/ABL2/CDH13/DSC3/NECTIN2/CLSTN2/NEXN/LIMS2/FBXO38/AJUBA/SOCS5/PDLIM5",42
"GO:1902652","secondary alcohol metabolic process","19/338","88/8747",0.215909090909091,5.58744620763852,8.67100349778021,6.74950404597634e-10,5.90919079225229e-07,5.14028018659356e-07,"HMGCR/HMGCS1/INSIG1/DHCR24/IDI1/MSMO1/ACLY/LSS/FDPS/LIMA1/MVD/CYP51A1/FGF1/LDLR/ABCA1/STARD4/TM7SF2/NPC1/PCSK9",19
"GO:0044283","small molecule biosynthetic process","38/338","342/8747",0.111111111111111,2.87541091387245,7.09302586593724,3.05743563462726e-09,2.14142791849293e-06,1.8627828898129e-06,"TRIB3/HMGCR/HMGCS1/ASNS/INSIG1/SHMT2/SLC38A1/DHCR24/PSAT1/IDI1/MSMO1/MTHFD2/SLC39A14/ACLY/LSS/PCK2/NT5E/FDPS/ANGPTL4/MVD/PRPS1/ATF4/CYP51A1/BCAT1/FGF1/FADS2/SESN2/PHGDH/ASS1/HACD2/PRXL2B/DHFR/STARD4/TK2/TM7SF2/ADM/CLK2/ACACA",38
"GO:0006695","cholesterol biosynthetic process","13/338","48/8747",0.270833333333333,7.0088141025641,8.36884707326217,1.93123779385239e-08,9.66170679153011e-06,8.40451454948695e-06,"HMGCR/HMGCS1/INSIG1/DHCR24/IDI1/MSMO1/ACLY/LSS/FDPS/MVD/CYP51A1/FGF1/TM7SF2",13
"GO:1902653","secondary alcohol biosynthetic process","13/338","48/8747",0.270833333333333,7.0088141025641,8.36884707326217,1.93123779385239e-08,9.66170679153011e-06,8.40451454948695e-06,"HMGCR/HMGCS1/INSIG1/DHCR24/IDI1/MSMO1/ACLY/LSS/FDPS/MVD/CYP51A1/FGF1/TM7SF2",13
"GO:0016126","sterol biosynthetic process","13/338","51/8747",0.254901960784314,6.59653092006033,8.03591141198408,4.2916596588762e-08,1.73719577267516e-05,1.51114988912258e-05,"HMGCR/HMGCS1/INSIG1/DHCR24/IDI1/MSMO1/ACLY/LSS/FDPS/MVD/CYP51A1/FGF1/TM7SF2",13
"GO:0001944","vasculature development","38/338","377/8747",0.10079575596817,2.6084629510461,6.40044129283023,4.4645236876289e-08,1.73719577267516e-05,1.51114988912258e-05,"LOX/PLK2/ACTG1/TGFB2/COL8A1/WARS1/DDIT3/THBS1/CTNND1/SAT1/AMOTL2/THY1/COL1A1/CAV1/MYH9/FOSL1/SARS1/GREM1/KIT/ANGPTL4/PIK3R3/ZFP36L1/FGF1/AKT3/HMGA2/DDAH1/NRP1/PDGFRB/LDLR/MYH10/PDCD4/CDH13/CCN2/CCBE1/ADM/ARHGAP22/CXCL8/MYOCD",38
"GO:0001568","blood vessel development","36/338","361/8747",0.0997229916897507,2.58070120801849,6.14917520762717,1.36233164113185e-07,4.77088540724375e-05,4.15009238887956e-05,"LOX/PLK2/ACTG1/TGFB2/COL8A1/WARS1/DDIT3/THBS1/CTNND1/SAT1/AMOTL2/THY1/COL1A1/CAV1/MYH9/FOSL1/SARS1/GREM1/ANGPTL4/PIK3R3/ZFP36L1/FGF1/AKT3/HMGA2/DDAH1/NRP1/PDGFRB/LDLR/MYH10/CDH13/CCN2/CCBE1/ADM/ARHGAP22/CXCL8/MYOCD",36
