"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","13/207","70/4388",0.185714285714286,3.9367839889579,5.51072337371534,1.7192369987373e-05,0.00281930502199161,0.00238660344150928,"7414/71/60/7057/1277/2316/1956/87/8503/10000/5159/55679/3480",13
"Cellular Processes","Cell motility","hsa04814","Motor proteins","16/207","103/4388",0.155339805825243,3.29290370995732,5.23911489076675,1.97154197342071e-05,0.00281930502199161,0.00238660344150928,"71/60/7846/7168/4627/9493/10112/10398/7171/84617/4651/7280/1781/1778/4628/3797",16
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","16/207","112/4388",0.142857142857143,3.02829537612146,4.83782628516402,5.72067706541641e-05,0.00438036022891073,0.00370807085995387,"7414/71/60/7057/7168/1277/4627/84675/10398/1290/7171/7791/29766/4628/1729/10611",16
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","18/207","137/4388",0.131386861313869,2.7851475721993,4.72299799118357,6.12637794253248e-05,0.00438036022891073,0.00370807085995387,"7414/71/60/7846/4627/10097/10398/3897/87/8503/10000/84617/8829/7280/23705/4628/5819/4008",18
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","21/207","179/4388",0.11731843575419,2.48692413569751,4.51912932414863,8.14908436701767e-05,0.00466127625793411,0.0039458724303454,"7414/71/60/81631/8878/960/55062/10097/10398/1956/87/8503/55752/55054/10000/9181/9265/5332/1729/3576/80201",21
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","16/207","119/4388",0.134453781512605,2.85016035399667,4.55248663963684,0.000120473986815212,0.0057425933715251,0.0048612310469296,"7414/71/60/7057/1277/857/2316/10398/1956/87/8503/7791/10000/5159/1729/3480",16
"Metabolism","Metabolism of terpenoids and polyketides","hsa00900","Terpenoid backbone biosynthesis","6/207","21/4388",0.285714285714286,6.05659075224293,5.16778888642382,0.000306514457004311,0.0125233049576047,0.0106012518963897,"3156/3157/39/3422/2224/4597",6
"Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","7/207","30/4388",0.233333333333333,4.94621578099839,4.82532699846997,0.000377829892460887,0.0135074186554767,0.0114343256928953,"2512/6520/81631/6303/23657/23516/5621",7
"Metabolism","Lipid metabolism","hsa00100","Steroid biosynthesis","5/207","16/4388",0.3125,6.6243961352657,5.01446635813411,0.000634599118917153,0.0183082869061566,0.0154983658020464,"1718/6307/4047/1595/7108",5
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","13/207","99/4388",0.131313131313131,2.7835846386571,3.99357829795104,0.000665557016103231,0.0183082869061566,0.0154983658020464,"71/60/7057/1500/3815/1956/8503/2246/10000/136/5159/5332/3480",13
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","9/207","53/4388",0.169811320754717,3.59967186218212,4.23634014826078,0.000704164881006023,0.0183082869061566,0.0154983658020464,"7414/71/60/1500/7070/10398/87/8503/9076",9
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","10/207","65/4388",0.153846153846154,3.26124117428465,4.08639036423991,0.000805716990553203,0.0192029216081847,0.0162556936690559,"7414/71/60/1500/10398/1956/87/5819/4008/3480",10
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","15/207","129/4388",0.116279069767442,2.46489158521514,3.75729613326109,0.000962423880293029,0.0211733253664466,0.0179236836005989,"71/7042/60/7057/5329/960/1277/857/2316/1026/1956/8503/10000/27250/3480",15
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","15/207","134/4388",0.111940298507463,2.37291801860264,3.59109725890952,0.00142656383704664,0.0291426612425241,0.024669900941408,"7414/71/60/4627/55970/10097/10398/1956/87/8503/2246/10000/5159/4628/1729",15
"Environmental Information Processing","Signaling molecules and interaction","hsa04519","Cadherin signaling","17/207","164/4388",0.103658536585366,2.19736066925887,3.47707344167349,0.00164588837933028,0.0313816050992307,0.0265652159470853,"7414/71/60/1500/51421/144501/10097/51474/1956/87/5159/1012/1825/3872/11322/84962/3480",17
"Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","6/207","30/4388",0.2,4.23961352657005,3.96131268078098,0.00234954248937201,0.0396989231896348,0.0336060078528377,"39/3939/5106/2739/219/31",6
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","12/207","100/4388",0.12,2.54376811594203,3.4744301484246,0.00235972620357969,0.0396989231896348,0.0336060078528377,"71/60/51421/7846/4627/10097/10398/87/9076/9181/4628/23327",12
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","7/207","41/4388",0.170731707317073,3.61918227877931,3.74879539777016,0.00268312313650047,0.042631845391063,0.0360887907248601,"7414/7042/1277/87/8503/5332/3576",7
